model_key,model_name,family,scope,group,n,n_pos,n_neg,label_rate,auroc,var_auroc,ci_low,ci_high,ci_width,method,alpha,note
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,OVERALL,6378,3916,2462,0.6139855754154907,0.7625790462424149,3.67596285815495e-05,0.7504918662094839,0.7742568047883841,0.023764938578900163,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,arc_challenge_llama8b,1172,770,402,0.6569965870307167,0.6215820249402338,0.0002904514282012121,0.5876502213448666,0.65436390243617,0.06671368109130349,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,arc_challenge_qwen7b,1172,827,345,0.7056313993174061,0.6896307589856825,0.0002817698687721212,0.6558115977869696,0.7215378928060712,0.06572629501910154,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,gpqa_diamond_llama8b,198,80,118,0.40404040404040403,0.6942266949152542,0.0014625428189445555,0.6146382737263202,0.7636972546888364,0.14905898096251624,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,gpqa_diamond_qwen7b,198,86,112,0.43434343434343436,0.7196843853820597,0.0013911570796736974,0.641189610118346,0.7867192484147778,0.14552963829643184,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,gsm8k_llama8b,1319,601,718,0.45564821834723274,0.7410108037208181,0.00018474815757172635,0.7134941484395042,0.76674865442065,0.05325450598114578,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,gsm8k_qwen7b,1319,887,432,0.6724791508718726,0.8188716125934277,0.00015356030102634303,0.7933060235604595,0.8419052161600862,0.04859919259962664,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,math500_llama8b,500,304,196,0.608,0.8277977309344791,0.0003436910621424988,0.7883819189990888,0.8611648441960749,0.07278292519698604,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,math500_qwen7b,500,361,139,0.722,0.8718089240518941,0.00034578802029248485,0.8307470413341014,0.9040593930189994,0.07331235168489803,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,OVERALL,6378,3916,2462,0.6139855754154907,0.7868185282483743,3.356810475420653e-05,0.7752425346543147,0.7979536948674394,0.022711160213124693,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,arc_challenge_llama8b,1172,770,402,0.6569965870307167,0.6451088712282743,0.0002849374624611565,0.6113758182013507,0.6774586057951197,0.06608278759376907,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,arc_challenge_qwen7b,1172,827,345,0.7056313993174061,0.7181045511101765,0.0002665601692412134,0.6850334981629199,0.7489756240858967,0.06394212592297677,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,gpqa_diamond_llama8b,198,80,118,0.40404040404040403,0.6911016949152542,0.0015890099048203998,0.6080916911699893,0.7633712404798978,0.1552795493099085,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,gpqa_diamond_qwen7b,198,86,112,0.43434343434343436,0.7953696013289038,0.0011377235978914974,0.7213993081895999,0.8536836615280475,0.13228435333844768,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,gsm8k_llama8b,1319,601,718,0.45564821834723274,0.7532258214025834,0.0001775144650986994,0.7261951494613476,0.7784022607137411,0.05220711125239352,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,gsm8k_qwen7b,1319,887,432,0.6724791508718726,0.8366737650841372,0.00013488689219812497,0.8126170148571427,0.8581810467994634,0.045564031942320726,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,math500_llama8b,500,304,196,0.608,0.8469723415682062,0.00031777600317700854,0.8086838340616579,0.8787470332575973,0.0700631991959394,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,math500_qwen7b,500,361,139,0.722,0.9202853783455229,0.00022692839275691393,0.8853158039415691,0.9452514133384942,0.059935609396925105,logit,0.05,
step_transformer,Step Transformer,structure,pooled_8,OVERALL,6378,3916,2462,0.6139855754154907,0.6777945092266598,4.852441393620833e-05,0.6639925889400119,0.6912930790728878,0.027300490132875943,logit,0.05,
