id,dataset,correct,token_count_raw,g1_token_count,g1_episode_count,g1_prop_F,g1_prop_V,g1_prop_B,g1_prop_R,g1_prop_S,g1_prop_H,g2_backtrack_count,g2_verification_count,g2_restart_count,g2_vf_ratio,g2_backtrack_pos_mean,g2_first_conclusion_pos,g2_verification_cluster_coeff,g2_longest_forward_run,g2_transition_entropy,g2_cycle_count,g3_wait_ratio,g3_question_mark_count,g3_negation_count,g3_fourgram_repetition_rate
math500_0,math500,1,73,73,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_1,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_2,math500,0,250,250,37,0.24324324324324326,0.16216216216216217,0.35135135135135137,0.05405405405405406,0.05405405405405406,0.10810810810810811,13,6,2,0.6666666666666666,0.5696465696465697,0.7297297297297297,0.10312856231534548,3,3.9302252658009036,4,0.02,1,2,0.08878504672897196
math500_3,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_4,math500,0,192,192,31,0.25806451612903225,0.12903225806451613,0.3225806451612903,0.06451612903225806,0.06451612903225806,0.12903225806451613,10,4,2,0.5,0.4935483870967742,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,3,0.015625,1,2,0.005319148936170213
math500_5,math500,0,216,216,31,0.2903225806451613,0.12903225806451613,0.2903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613,9,4,2,0.4444444444444444,0.5017921146953405,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,4,0.013888888888888888,1,2,0.009478672985781991
math500_6,math500,1,73,73,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_7,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_8,math500,0,226,226,37,0.21621621621621623,0.16216216216216217,0.3783783783783784,0.05405405405405406,0.05405405405405406,0.10810810810810811,14,6,2,0.75,0.5540540540540541,0.7297297297297297,0.10312856231534548,3,3.8774437510817332,3,0.022123893805309734,1,2,0.09424083769633508
math500_9,math500,0,216,216,31,0.2903225806451613,0.12903225806451613,0.2903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613,9,4,2,0.4444444444444444,0.5017921146953405,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,4,0.013888888888888888,1,2,0.009478672985781991
math500_10,math500,1,80,80,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_11,math500,0,233,233,34,0.2647058823529412,0.14705882352941177,0.3235294117647059,0.058823529411764705,0.058823529411764705,0.11764705882352941,11,5,2,0.5555555555555556,0.5454545454545454,0.7941176470588235,0.12193473493953677,3,3.9683403313485464,4,0.017167381974248927,1,2,0.07476635514018691
math500_12,math500,0,192,192,31,0.25806451612903225,0.12903225806451613,0.3225806451612903,0.06451612903225806,0.06451612903225806,0.12903225806451613,10,4,2,0.5,0.4935483870967742,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,3,0.015625,1,2,0.005319148936170213
math500_13,math500,0,226,226,37,0.21621621621621623,0.16216216216216217,0.3783783783783784,0.05405405405405406,0.05405405405405406,0.10810810810810811,14,6,2,0.75,0.5540540540540541,0.7297297297297297,0.10312856231534548,3,3.8774437510817332,3,0.022123893805309734,1,2,0.09424083769633508
math500_14,math500,0,250,250,37,0.24324324324324326,0.16216216216216217,0.35135135135135137,0.05405405405405406,0.05405405405405406,0.10810810810810811,13,6,2,0.6666666666666666,0.5696465696465697,0.7297297297297297,0.10312856231534548,3,3.9302252658009036,4,0.02,1,2,0.08878504672897196
math500_15,math500,1,73,73,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_16,math500,1,73,73,11,0.5454545454545454,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0,1,0,0.16666666666666666,0.0,0.9090909090909091,0.0,2,2.3709505944546687,1,0.0,0,0,0.0
math500_17,math500,0,226,226,37,0.21621621621621623,0.16216216216216217,0.3783783783783784,0.05405405405405406,0.05405405405405406,0.10810810810810811,14,6,2,0.75,0.5540540540540541,0.7297297297297297,0.10312856231534548,3,3.8774437510817332,3,0.022123893805309734,1,2,0.09424083769633508
math500_18,math500,1,80,80,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_19,math500,1,73,73,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_20,math500,0,233,233,34,0.2647058823529412,0.14705882352941177,0.3235294117647059,0.058823529411764705,0.058823529411764705,0.11764705882352941,11,5,2,0.5555555555555556,0.5454545454545454,0.7941176470588235,0.12193473493953677,3,3.9683403313485464,4,0.017167381974248927,1,2,0.07476635514018691
math500_21,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_22,math500,1,73,73,11,0.5454545454545454,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0,1,0,0.16666666666666666,0.0,0.9090909090909091,0.0,2,2.3709505944546687,1,0.0,0,0,0.0
math500_23,math500,0,192,192,31,0.25806451612903225,0.12903225806451613,0.3225806451612903,0.06451612903225806,0.06451612903225806,0.12903225806451613,10,4,2,0.5,0.4935483870967742,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,3,0.015625,1,2,0.005319148936170213
math500_24,math500,0,250,250,37,0.24324324324324326,0.16216216216216217,0.35135135135135137,0.05405405405405406,0.05405405405405406,0.10810810810810811,13,6,2,0.6666666666666666,0.5696465696465697,0.7297297297297297,0.10312856231534548,3,3.9302252658009036,4,0.02,1,2,0.08878504672897196
math500_25,math500,0,250,250,37,0.24324324324324326,0.16216216216216217,0.35135135135135137,0.05405405405405406,0.05405405405405406,0.10810810810810811,13,6,2,0.6666666666666666,0.5696465696465697,0.7297297297297297,0.10312856231534548,3,3.9302252658009036,4,0.02,1,2,0.08878504672897196
math500_26,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_27,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_28,math500,1,80,80,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_29,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_30,math500,0,192,192,31,0.25806451612903225,0.12903225806451613,0.3225806451612903,0.06451612903225806,0.06451612903225806,0.12903225806451613,10,4,2,0.5,0.4935483870967742,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,3,0.015625,1,2,0.005319148936170213
math500_31,math500,0,233,233,34,0.2647058823529412,0.14705882352941177,0.3235294117647059,0.058823529411764705,0.058823529411764705,0.11764705882352941,11,5,2,0.5555555555555556,0.5454545454545454,0.7941176470588235,0.12193473493953677,3,3.9683403313485464,4,0.017167381974248927,1,2,0.07476635514018691
math500_32,math500,0,216,216,31,0.2903225806451613,0.12903225806451613,0.2903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613,9,4,2,0.4444444444444444,0.5017921146953405,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,4,0.013888888888888888,1,2,0.009478672985781991
math500_33,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_34,math500,1,80,80,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_35,math500,0,209,209,34,0.23529411764705882,0.14705882352941177,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.11764705882352941,12,5,2,0.625,0.5318627450980392,0.7941176470588235,0.12193473493953677,3,3.9344186501738876,3,0.019138755980861243,1,2,0.07853403141361257
math500_36,math500,1,73,73,11,0.5454545454545454,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0,1,0,0.16666666666666666,0.0,0.9090909090909091,0.0,2,2.3709505944546687,1,0.0,0,0,0.0
math500_37,math500,0,216,216,31,0.2903225806451613,0.12903225806451613,0.2903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613,9,4,2,0.4444444444444444,0.5017921146953405,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,4,0.013888888888888888,1,2,0.009478672985781991
math500_38,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_39,math500,0,226,226,37,0.21621621621621623,0.16216216216216217,0.3783783783783784,0.05405405405405406,0.05405405405405406,0.10810810810810811,14,6,2,0.75,0.5540540540540541,0.7297297297297297,0.10312856231534548,3,3.8774437510817332,3,0.022123893805309734,1,2,0.09424083769633508
math500_40,math500,0,216,216,31,0.2903225806451613,0.12903225806451613,0.2903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613,9,4,2,0.4444444444444444,0.5017921146953405,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,4,0.013888888888888888,1,2,0.009478672985781991
math500_41,math500,1,73,73,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_42,math500,1,73,73,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_43,math500,0,250,250,37,0.24324324324324326,0.16216216216216217,0.35135135135135137,0.05405405405405406,0.05405405405405406,0.10810810810810811,13,6,2,0.6666666666666666,0.5696465696465697,0.7297297297297297,0.10312856231534548,3,3.9302252658009036,4,0.02,1,2,0.08878504672897196
math500_44,math500,0,233,233,34,0.2647058823529412,0.14705882352941177,0.3235294117647059,0.058823529411764705,0.058823529411764705,0.11764705882352941,11,5,2,0.5555555555555556,0.5454545454545454,0.7941176470588235,0.12193473493953677,3,3.9683403313485464,4,0.017167381974248927,1,2,0.07476635514018691
math500_45,math500,0,226,226,37,0.21621621621621623,0.16216216216216217,0.3783783783783784,0.05405405405405406,0.05405405405405406,0.10810810810810811,14,6,2,0.75,0.5540540540540541,0.7297297297297297,0.10312856231534548,3,3.8774437510817332,3,0.022123893805309734,1,2,0.09424083769633508
math500_46,math500,0,250,250,37,0.24324324324324326,0.16216216216216217,0.35135135135135137,0.05405405405405406,0.05405405405405406,0.10810810810810811,13,6,2,0.6666666666666666,0.5696465696465697,0.7297297297297297,0.10312856231534548,3,3.9302252658009036,4,0.02,1,2,0.08878504672897196
math500_47,math500,1,75,75,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_48,math500,1,80,80,12,0.5833333333333334,0.08333333333333333,0.0,0.0,0.25,0.0,0,1,0,0.14285714285714285,0.0,0.9166666666666666,0.0,3,2.413088436425758,1,0.0,0,0,0.0
math500_49,math500,0,192,192,31,0.25806451612903225,0.12903225806451613,0.3225806451612903,0.06451612903225806,0.06451612903225806,0.12903225806451613,10,4,2,0.5,0.4935483870967742,0.8709677419354839,0.14664711502135327,3,3.9647351787255047,3,0.015625,1,2,0.005319148936170213
