item_id,dataset,is_correct,total_tokens,total_episodes,prop_forward,prop_verification,prop_backtrack,prop_restart,prop_hesitation,prop_subgoal,prop_conclusion,backtrack_count,verification_count,restart_count,vf_ratio,bt_position_mean,first_conclusion_pos,v_clustering,max_forward_run,transition_entropy,cycle_count,wait_ratio,question_mark_count,negation_count,repetition_rate_4gram
math500_0000,math500,1,567.0,49.0,0.8775510204081632,0.02040816326530612,0.061224489795918366,0.0,0.02040816326530612,0.0,0.02040816326530612,3.0,1.0,0.0,0.023255813953488372,0.47222222222222215,1.0,0.0,14.0,0.18551243570543002,10.0,0.007054673721340388,2.0,1.0,0.03191489361702127
math500_0001,math500,1,879.0,63.0,0.7619047619047619,0.047619047619047616,0.06349206349206349,0.0,0.07936507936507936,0.031746031746031744,0.015873015873015872,4.0,3.0,0.0,0.0625,0.5846774193548387,1.0,0.38461538461538464,11.0,0.8709625336994662,21.0,0.006825938566552901,2.0,4.0,0.10730593607305938
math500_0002,math500,0,914.0,95.0,0.8736842105263158,0.031578947368421054,0.021052631578947368,0.0,0.031578947368421054,0.021052631578947368,0.021052631578947368,2.0,3.0,0.0,0.03614457831325301,0.7234042553191489,0.7340425531914894,0.0,20.0,0.44195259130444103,28.0,0.005470459518599562,2.0,2.0,0.0834248079034029
math500_0003,math500,1,811.0,67.0,0.7761194029850746,0.05970149253731343,0.07462686567164178,0.014925373134328358,0.029850746268656716,0.014925373134328358,0.029850746268656716,5.0,4.0,1.0,0.07692307692307693,0.5181818181818182,0.9848484848484849,0.7252251768198796,19.0,0.6746695330416209,12.0,0.011097410604192354,5.0,6.0,0.04579207920792083
math500_0004,math500,1,1322.0,138.0,0.8840579710144928,0.028985507246376812,0.021739130434782608,0.014492753623188406,0.043478260869565216,0.0,0.007246376811594203,3.0,4.0,2.0,0.03278688524590164,0.8053527980535279,1.0,0.918458344260758,28.0,0.7450649031244108,53.0,0.007564296520423601,5.0,3.0,0.03563305534495831
math500_0005,math500,1,432.0,25.0,0.84,0.04,0.0,0.04,0.04,0.0,0.04,0.0,1.0,1.0,0.047619047619047616,0.0,1.0,0.0,11.0,0.2708547330606928,10.0,0.004629629629629629,1.0,1.0,0.07226107226107226
math500_0006,math500,1,791.0,60.0,0.8333333333333334,0.03333333333333333,0.03333333333333333,0.0,0.05,0.03333333333333333,0.016666666666666666,2.0,2.0,0.0,0.04,0.6101694915254237,1.0,0.0,21.0,0.7435704398856785,13.0,0.006321112515802781,1.0,7.0,0.0824873096446701
math500_0007,math500,0,1497.0,129.0,0.7829457364341085,0.03875968992248062,0.06201550387596899,0.046511627906976744,0.03875968992248062,0.023255813953488372,0.007751937984496124,8.0,5.0,6.0,0.04950495049504951,0.46484375,1.0,0.48029245136626286,15.0,0.7252769308899037,51.0,0.008016032064128256,3.0,8.0,0.11646586345381527
math500_0008,math500,1,738.0,56.0,0.8035714285714286,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.017857142857142856,3.0,1.0,1.0,0.022222222222222223,0.5575757575757575,1.0,0.0,12.0,0.1907641269577229,13.0,0.008130081300813009,1.0,2.0,0.03401360544217691
math500_0009,math500,0,11803.0,932.0,0.7317596566523605,0.009656652360515022,0.17381974248927037,0.06759656652360516,0.008583690987124463,0.003218884120171674,0.00536480686695279,162.0,9.0,63.0,0.013196480938416423,0.5431369428863163,0.8947368421052632,0.9164958373541038,31.0,0.8655519783136375,791.0,0.015165635855291027,40.0,56.0,0.48737288135593215
