model_key,model_name,group,n,n_pos,n_neg,label_rate,auroc,var_auroc,ci_low,ci_high,ci_width,method,alpha,protocol,leaky,why_flagged,note
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),OVERALL,6344,3911,2433,0.6164880201765448,0.8053842992190711,3.064704397265866e-05,0.7943041720381848,0.816005833154713,0.02170166111652816,logit,0.05,,,,
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),arc_challenge_llama8b,1168,769,399,0.6583904109589042,0.6703885852472534,0.0002762837238886122,0.6370329566550998,0.7021123086537288,0.06507935199862891,logit,0.05,,,,
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),arc_challenge_qwen7b,1165,825,340,0.7081545064377682,0.7312869875222816,0.0002639572593925197,0.698279007460874,0.7619151455594952,0.06363613809862123,logit,0.05,,,,
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),gpqa_diamond_llama8b,189,78,111,0.4126984126984127,0.7161007161007162,0.0014747131864248984,0.6352898028664965,0.7850639002073824,0.14977409734088587,logit,0.05,,,,
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),gpqa_diamond_qwen7b,192,86,106,0.4479166666666667,0.7552654673102238,0.0013296924712384926,0.6770473737268031,0.8195874352950722,0.14254006156826904,logit,0.05,,,,
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),gsm8k_llama8b,1319,601,718,0.45564821834723274,0.7587980107434684,0.0001735397451678693,0.7320461922162259,0.7836682716945388,0.05162207947831288,logit,0.05,,,,
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),gsm8k_qwen7b,1318,887,431,0.6729893778452201,0.8503414884239217,0.00012452571168954188,0.8271295325485534,0.8709230715876759,0.04379353903912253,logit,0.05,,,,
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),math500_llama8b,494,304,190,0.6153846153846154,0.8683518005540165,0.0002646627130311353,0.8330697119457537,0.8970978503818439,0.06402813843609012,logit,0.05,,,,
hybrid_stacker,Hybrid stacker (L1-LR on OOF+hand),math500_qwen7b,499,361,138,0.7234468937875751,0.9378738608535069,0.0001383930915570793,0.9104164163461307,0.9573101924019818,0.0468937760558511,logit,0.05,,,,
roberta_pooled,RoBERTa-base (pooled),OVERALL,6378,3916,2462,0.6139855754154907,0.7980904747047876,3.156805897376684e-05,0.7868537978894354,0.8088786588000301,0.022024860910594635,logit,0.05,leaky_best_epoch_on_val,False,Pooled RoBERTa fine-tune; OOF fold predictions were picked by best val_AUROC across 3 epochs (test-set model selection).,
roberta_pooled,RoBERTa-base (pooled),arc_challenge_llama8b,1172,770,402,0.6569965870307167,0.674701169477289,0.00026770743368978504,0.6418526260188157,0.7059173107138716,0.064064684695056,logit,0.05,leaky_best_epoch_on_val,False,Pooled RoBERTa fine-tune; OOF fold predictions were picked by best val_AUROC across 3 epochs (test-set model selection).,
roberta_pooled,RoBERTa-base (pooled),arc_challenge_qwen7b,1172,827,345,0.7056313993174061,0.7364702171284371,0.00025579596909714244,0.7039519761341266,0.7666008815605,0.06264890542637336,logit,0.05,leaky_best_epoch_on_val,False,Pooled RoBERTa fine-tune; OOF fold predictions were picked by best val_AUROC across 3 epochs (test-set model selection).,
roberta_pooled,RoBERTa-base (pooled),gpqa_diamond_llama8b,198,80,118,0.40404040404040403,0.6829449152542374,0.0016553097707651338,0.5984636775708294,0.7568726293325065,0.15840895176167713,logit,0.05,leaky_best_epoch_on_val,False,Pooled RoBERTa fine-tune; OOF fold predictions were picked by best val_AUROC across 3 epochs (test-set model selection).,
roberta_pooled,RoBERTa-base (pooled),gpqa_diamond_qwen7b,198,86,112,0.43434343434343436,0.787998338870432,0.0011226310938624202,0.7150019156824347,0.8463168732332953,0.13131495755086064,logit,0.05,leaky_best_epoch_on_val,False,Pooled RoBERTa fine-tune; OOF fold predictions were picked by best val_AUROC across 3 epochs (test-set model selection).,
roberta_pooled,RoBERTa-base (pooled),gsm8k_llama8b,1319,601,718,0.45564821834723274,0.7516140694015081,0.00017694130957397904,0.7246387370748116,0.7767609089926516,0.052122171917839966,logit,0.05,leaky_best_epoch_on_val,False,Pooled RoBERTa fine-tune; OOF fold predictions were picked by best val_AUROC across 3 epochs (test-set model selection).,
